model,field,group,n,positives,negatives,prevalence,threshold,tp,fn,fp,tn,sensitivity,specificity,ppv,npv,accuracy,roc_auc,average_precision,brier,mean_score,No Rejection,Antibody-mediated Rejection,T cell-mediated Rejection,Mixed Rejection,miss_rate,false_flag_rate,miss_wilson_lower,miss_wilson_upper,false_flag_wilson_lower,false_flag_wilson_upper
logistic_all,Date,20211203,42,21,21,0.5,0.8536733723106492,17,4,0,21,0.8095238095238095,1.0,1.0,0.84,0.9047619047619048,0.9863945578231292,0.9880519480519481,0.04874217783592936,0.5086174969907129,21,8,11,2,0.19047619047619047,0.0,0.07667565052761793,0.40000564690204926,0.0,0.154639018924847
logistic_all,Date,20211210,45,24,21,0.5333333333333333,0.8536733723106492,21,3,0,21,0.875,1.0,1.0,0.875,0.9333333333333333,0.9940476190476191,0.9950587606837606,0.03463037019569285,0.5476583498493213,21,7,15,2,0.125,0.0,0.04344334080123444,0.31003881270500067,0.0,0.154639018924847
logistic_all,Date,20211216,47,28,19,0.5957446808510638,0.8536733723106492,23,5,0,19,0.8214285714285714,1.0,1.0,0.7916666666666666,0.8936170212765957,0.9661654135338347,0.9805689152463345,0.07840145422883305,0.5736412462240038,19,8,15,5,0.17857142857142858,0.0,0.07878501945604277,0.35591424789342946,0.0,0.16817922405261626
logistic_all,Date,20211221,34,6,28,0.17647058823529413,0.8536733723106492,3,3,1,27,0.5,0.9642857142857143,0.75,0.9,0.8823529411764706,0.8333333333333334,0.7634920634920634,0.10146244859726009,0.2546832590714196,28,4,2,0,0.5,0.03571428571428571,0.1876163064826506,0.8123836935173494,0.0063325198490377516,0.1771219774335332
logistic_all,CartridgeID,V20211130-G001-1,11,6,5,0.5454545454545454,0.8536733723106492,5,1,1,4,0.8333333333333334,0.8,0.8333333333333334,0.8,0.8181818181818182,0.9666666666666668,0.976190476190476,0.12071405622192612,0.6920640034340337,5,2,3,1,0.16666666666666666,0.2,0.030053369748306635,0.5635028221864702,0.03622410863243014,0.6244653702374747
logistic_all,CartridgeID,V20211130-G002-2,11,6,5,0.5454545454545454,0.8536733723106492,3,3,1,4,0.5,0.8,0.75,0.5714285714285714,0.6363636363636364,0.7333333333333333,0.7662698412698411,0.2575843939779467,0.46810763849041576,5,2,3,1,0.5,0.2,0.1876163064826506,0.8123836935173494,0.03622410863243014,0.6244653702374747
logistic_all,CartridgeID,V20211130-G003-3,11,5,6,0.45454545454545453,0.8536733723106492,4,1,1,5,0.8,0.8333333333333334,0.8,0.8333333333333334,0.8181818181818182,0.9333333333333333,0.9266666666666665,0.14633801084200623,0.6133448061522411,6,2,3,0,0.2,0.16666666666666666,0.03622410863243014,0.6244653702374747,0.030053369748306635,0.5635028221864702
logistic_all,CartridgeID,V20211130-G004-4,12,7,5,0.5833333333333334,0.8536733723106492,7,0,0,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.006480007159976416,0.5995635204281101,5,2,4,1,0.0,0.0,5.551115123125783e-17,0.35433043506668743,0.0,0.43448246478317476
logistic_all,CartridgeID,V20211201-G011-1,11,5,6,0.45454545454545453,0.8536733723106492,3,2,1,5,0.6,0.8333333333333334,0.75,0.7142857142857143,0.7272727272727273,0.9333333333333333,0.9266666666666665,0.13400917394554843,0.43719849300194585,6,2,3,0,0.4,0.16666666666666666,0.11762077423264783,0.769275718723987,0.030053369748306635,0.5635028221864702
logistic_all,CartridgeID,V20211201-G012-2,10,5,5,0.5,0.8536733723106492,4,1,1,4,0.8,0.8,0.8,0.8,0.8,0.88,0.925,0.1907727203106288,0.6396319191927508,5,1,3,1,0.2,0.2,0.03622410863243014,0.6244653702374747,0.03622410863243014,0.6244653702374747
logistic_all,CartridgeID,V20211201-G013-3,11,5,6,0.45454545454545453,0.8536733723106492,4,1,0,6,0.8,1.0,1.0,0.8571428571428571,0.9090909090909091,1.0,1.0,0.028291957214360088,0.45541610025137697,6,2,3,0,0.2,0.0,0.03622410863243014,0.6244653702374747,2.7755575615628914e-17,0.3903342879021653
logistic_all,CartridgeID,V20211201-G014-4,11,6,5,0.5454545454545454,0.8536733723106492,4,2,0,5,0.6666666666666666,1.0,1.0,0.7142857142857143,0.8181818181818182,0.9,0.9305555555555556,0.13175750049312143,0.5860535051916861,5,1,4,1,0.3333333333333333,0.0,0.09677141110578041,0.700006684861608,0.0,0.43448246478317476
logistic_all,CartridgeID,V20211202-G007-1,10,4,6,0.4,0.8536733723106492,3,1,0,6,0.75,1.0,1.0,0.8571428571428571,0.9,1.0,1.0,0.04169046604520329,0.4360469870321394,6,2,2,0,0.25,0.0,0.04558726080970055,0.6993581574175981,2.7755575615628914e-17,0.3903342879021653
logistic_all,CartridgeID,V20211202-G008-2,12,7,5,0.5833333333333334,0.8536733723106492,7,0,0,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.08625674230949294,0.7234480498116594,5,2,4,1,0.0,0.0,5.551115123125783e-17,0.35433043506668743,0.0,0.43448246478317476
logistic_all,CartridgeID,V20211202-G009-3,10,4,6,0.4,0.8536733723106492,4,0,0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06016617549676857,0.496135191230223,6,1,3,0,0.0,0.0,0.0,0.4898908364545973,2.7755575615628914e-17,0.3903342879021653
